gen;functie;referentie;link
ZNF598;kwaliteit controle translatie;Juszkiewicz et al, 2018;https://www.cell.com/molecular-cell/fulltext/S109727651830697X
MT-ND6;NADH dehydrogenase subunit 6;Ozawa et al, 2007;https://www.nature.com/articles/nmeth1030
SRGN;Proteoglycaan in immuun cellen;Qian et al, 2024;https://link.springer.com/article/10.1186/s12974-024-03026-6
IGHV1-69;reaumatoide factoren zijn afgeleid van dit gen;Protein Reviews, volume 21;https://link.springer.com/chapter/10.1007/5584_2020_510
;;;
